,headline,url
0,Casado habla de “pucherazo” en la votación y Lastra acusa al PP de comprar a los diputados de UPN,[]
1,Casado habla de “pucherazo” en la votación y Lastra acusa al PP de comprar a los diputados de UPN,[]
2,La votación telemática requiere una doble confirmación,[]
3,La votación telemática requiere una doble confirmación,[]
4,Las tres propuestas que ERC rechazó para modificar la reforma,[]
5,Las tres propuestas que ERC rechazó para modificar la reforma,[]
6,Cronología del voto del diputado del PP Alberto Casero: un error contado paso a paso,[]
7,Cronología del voto del diputado del PP Alberto Casero: un error contado paso a paso,[]
8,Casero denuncia la “vulneración” de su derecho al voto en una carta a Batet,[]
9,Casero denuncia la “vulneración” de su derecho al voto en una carta a Batet,[]
10,Bolaños reprocha al PP usar “todo tipo de artes” para tumbar la nueva norma,[]
11,Bolaños reprocha al PP usar “todo tipo de artes” para tumbar la nueva norma,[]
12,Reforma de infarto,[]
13,Reforma de infarto,[]
14,"Esperpento valleinclanesco, versión Congreso de los Diputados",[]
15,"Esperpento valleinclanesco, versión Congreso de los Diputados",[]
16,Cuatro días de enero (lo malo de acostumbrarse a la muerte),[]
17,Cuatro días de enero (lo malo de acostumbrarse a la muerte),[]
18,Sin libertad de expresión no hay libertad de elección,[]
19,Sin libertad de expresión no hay libertad de elección,[]
20,Tuitea en cristiano,[]
21,Tuitea en cristiano,[]
22,La Constitución no es el Código de Hammurabi,[]
23,La Constitución no es el Código de Hammurabi,[]
24,La mascarilla en exteriores dejará de ser obligatoria desde el próximo jueves,[]
25,La mascarilla en exteriores dejará de ser obligatoria desde el próximo jueves,[]
26,"Si me he contagiado ya de la ómicron, ¿puedo reinfectarme?",[]
27,"Si me he contagiado ya de la ómicron, ¿puedo reinfectarme?",[]
28,China y Rusia expresan su apoyo mutuo en política internacional y rechazan una ampliación de la OTAN,[]
29,China y Rusia expresan su apoyo mutuo en política internacional y rechazan una ampliación de la OTAN,[]
30,"Puerta 8, la barriada de Buenos Aires donde la cocaína adulterada mató a 23 personas",[]
31,"Puerta 8, la barriada de Buenos Aires donde la cocaína adulterada mató a 23 personas",[]
32,La materia Historia de España no mencionará en Cataluña la Constitución de 1978,[]
33,La materia Historia de España no mencionará en Cataluña la Constitución de 1978,[]
34,Todo se hizo mal en la residencia catalana de Tremp donde murieron 64 ancianos en un mes,[]
35,Todo se hizo mal en la residencia catalana de Tremp donde murieron 64 ancianos en un mes,[]
36,Los equipos de rescate abren un túnel horizontal para acceder al niño atrapado en un pozo en Marruecos,[]
37,Los equipos de rescate abren un túnel horizontal para acceder al niño atrapado en un pozo en Marruecos,[]
38,Amazon duplica sus beneficios trimestrales y bate récord de subida en Bolsa,[]
39,Amazon duplica sus beneficios trimestrales y bate récord de subida en Bolsa,[]
40,La policía asegura que el castillo de Mislata donde murieron dos niñas tenía cuerdas deterioradas,[]
